March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
119.112  43.748
119.098  43.716
119.297  43.679
119.411  43.704
119.411  43.743
119.463  43.762
119.463  43.762
119.493  43.754
119.484  43.730
119.508  43.697
119.614  43.617
119.654  43.632
9  5      1  8421504       1   65535  000 000
122.993  43.696
122.879  43.680
122.905  43.652
122.883  43.627
122.592  43.648
122.592  43.648
122.530  43.631
122.533  43.606
122.506  43.593
5  5      1  8421504       1   65535  000 000
118.239  43.907
118.295  43.753
118.401  43.632
118.403  43.603
118.452  43.584
4  5      1  8421504       1   65535  000 000
120.849  43.788
120.975  43.664
120.924  43.615
120.828  43.581
4  5      1  8421504       1   65535  000 000
122.993  43.696
123.060  43.681
123.212  43.599
123.433  43.553
10  5      1  8421504       1   65535  000 000
121.791  43.797
121.781  43.750
121.856  43.665
121.827  43.660
121.842  43.633
121.820  43.621
121.738  43.650
121.738  43.650
121.704  43.591
121.799  43.551
6  5      1  8421504       1   65535  000 000
119.654  43.632
119.752  43.587
119.936  43.596
119.936  43.596
119.971  43.549
120.000  43.554
2  5      1  8421504       1   65535  000 000
122.506  43.593
122.485  43.542
2  5      1  8421504       1   65535  000 000
120.828  43.581
120.741  43.541
4  5      1  8421504       1   65535  000 000
121.799  43.551
121.813  43.539
121.796  43.509
121.754  43.517
6  5      1  8421504       1   65535  000 000
118.452  43.584
118.289  43.596
118.289  43.596
118.198  43.552
118.191  43.504
118.213  43.482
7  5      1  8421504       1   65535  000 000
120.873  43.479
121.036  43.533
121.036  43.533
121.130  43.524
121.183  43.542
121.183  43.542
121.246  43.527
3  5      1  8421504       1   65535  000 000
120.741  43.541
120.679  43.497
120.667  43.459
7  5      1  8421504       1   65535  000 000
112.110  43.728
